this_response,full_image_path,trial_number,HITID,HITTypeId,WorkerID,short_image_path,shorter_image_path,sanity_check_category,response,hands,faces,sanity_hands,sanity_faces
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/11895-A_20150507_3124_01.mp4-29325.jpg,1,3R0WOCG21M9NY6P3DI4PFLLSH34DUZ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AZ69TBTDH7AZS,11895-A_20150507_3124_01.mp4-29325.jpg,11895-A_20150507_3124_01.mp4-29325,NA,hands,TRUE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/6806-A_20140315_1802_01.mp4-52975.jpg,1,3ZQX1VYFTD5G469F0OH0UNF2OQJ8OB,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A12ASB8854TT4,6806-A_20140315_1802_01.mp4-52975.jpg,6806-A_20140315_1802_01.mp4-52975,NA,both,TRUE,TRUE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/22110-S_20141203_2516_02.mp4-4075.jpg,1,35YHTYFL1G3K95SZ9E9KZ7QW7NTFV1,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A17K1CHOI773VZ,22110-S_20141203_2516_02.mp4-4075.jpg,22110-S_20141203_2516_02.mp4-4075,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/10682-A_20141229_2716_01.mp4-15225.jpg,1,32K26U12DNONBLE3I8EUB7NBVADDVO,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AKZ8SFOAI4RZN,10682-A_20141229_2716_01.mp4-15225.jpg,10682-A_20141229_2716_01.mp4-15225,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/8461-A_20140601_2019_03.mp4-31790.jpg,1,32PT7WK7DMF3ZCCKYY8OSCVS4QK3DH,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A1P6OXEJ86HQRM,8461-A_20140601_2019_03.mp4-31790.jpg,8461-A_20140601_2019_03.mp4-31790,NA,none,FALSE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/1963-A_20130731_1018_02.mp4-14485.jpg,1,3P4ZBJFX2V3XOUS4ZOEGL99AEWVFWB,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2R8IV2PWFTY00,1963-A_20130731_1018_02.mp4-14485.jpg,1963-A_20130731_1018_02.mp4-14485,NA,both,TRUE,TRUE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/13223-S_20130619_0802_03.mp4-10465.jpg,1,3FVBZG9CLJEOU0IP179VHZCJT6T0HS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3FT3XPTOWHJMY,13223-S_20130619_0802_03.mp4-10465.jpg,13223-S_20130619_0802_03.mp4-10465,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/5029-A_20131206_1423_02.mp4-5935.jpg,1,3VMHWJRYHVGCDUXU9TA2NSNHNY1FX4,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3OW5EFQ5QFD19,5029-A_20131206_1423_02.mp4-5935.jpg,5029-A_20131206_1423_02.mp4-5935,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/975-A_20130622_0909_04.mp4-22140.jpg,1,3N7PQ0KLI5P8RIQKUTJ8YUDD42L3EA,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3OV174HQJIJK8,975-A_20130622_0909_04.mp4-22140.jpg,975-A_20130622_0909_04.mp4-22140,NA,none,FALSE,FALSE,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/15549-S_20131106_1220_01.mp4-7180.jpg,1,3P7RGTLO6EDBX3HFZU9LJX4OU99KA7,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2NW4P1OLHXU3N,15549-S_20131106_1220_01.mp4-7180.jpg,15549-S_20131106_1220_01.mp4-7180,NA,NA,NA,NA,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/15175-S_20131012_1125_06.mp4-6565.jpg,1,3UUIU9GZC55DUGVLY7WWCDBYL8Z5TS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2S4YDJ9UGAXFQ,15175-S_20131012_1125_06.mp4-6565.jpg,15175-S_20131012_1125_06.mp4-6565,NA,NA,NA,NA,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/8415-A_20140601_2019_02.mp4-12845.jpg,1,3MQKOF1EE2O0QAE88IJQX96P2JFDWY,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AN0JVAS4VR13F,8415-A_20140601_2019_02.mp4-12845.jpg,8415-A_20140601_2019_02.mp4-12845,NA,NA,NA,NA,NA,NA
Face(s) only,http://langcog.stanford.edu/expts/saycam/frames/642-A_20130612_0830_04.mp4-43285.jpg,1,362E9TQF2HQL1Z4ULRGJ230E00XIG6,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AETIZKQNUSBLB,642-A_20130612_0830_04.mp4-43285.jpg,642-A_20130612_0830_04.mp4-43285,NA,faces,FALSE,TRUE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/10473-A_20141213_2700_02.mp4-51485.jpg,1,3RWB1RTQDJNYP6LGFOUFJNKSYVF8PS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A36FBIDN58N139,10473-A_20141213_2700_02.mp4-51485.jpg,10473-A_20141213_2700_02.mp4-51485,NA,hands,TRUE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/4487-A_20131024_1311_02.mp4-15815.jpg,1,3KQC8JMJGCSKBSHMKUREJXAQWID3HQ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A30GA8KZBSU7E4,4487-A_20131024_1311_02.mp4-15815.jpg,4487-A_20131024_1311_02.mp4-15815,NA,hands,TRUE,FALSE,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/7968-A_20140509_1926_01.mp4-12670.jpg,1,3OQQD2WO8I6K7NS6QC9ZJ9B5WVS3IJ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2O2Y99RA9GFUJ,7968-A_20140509_1926_01.mp4-12670.jpg,7968-A_20140509_1926_01.mp4-12670,NA,NA,NA,NA,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/6799-A_20140315_1802_01.mp4-42805.jpg,1,3S829FDFT21FFAJYINFCZSKWBLLDXR,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2FV0CMG9S8CU0,6799-A_20140315_1802_01.mp4-42805.jpg,6799-A_20140315_1802_01.mp4-42805,NA,hands,TRUE,FALSE,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/19728-S_20140628_2011_06.mp4-13700.jpg,1,3PEG1BH7AERGGDM7589HE8OUCRUKB2,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3UDUHUVFKD833,19728-S_20140628_2011_06.mp4-13700.jpg,19728-S_20140628_2011_06.mp4-13700,NA,NA,NA,NA,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/14864-S_20130919_1102_05.mp4-15030.jpg,2,3R0WOCG21M9NY6P3DI4PFLLSH34DUZ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AZ69TBTDH7AZS,14864-S_20130919_1102_05.mp4-15030.jpg,14864-S_20130919_1102_05.mp4-15030,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/798-A_20130614_0901_03.mp4-17875.jpg,2,3ZQX1VYFTD5G469F0OH0UNF2OQJ8OB,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A12ASB8854TT4,798-A_20130614_0901_03.mp4-17875.jpg,798-A_20130614_0901_03.mp4-17875,NA,none,FALSE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/7764-A_20140502_1919_02.mp4-7485.jpg,2,35YHTYFL1G3K95SZ9E9KZ7QW7NTFV1,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A17K1CHOI773VZ,7764-A_20140502_1919_02.mp4-7485.jpg,7764-A_20140502_1919_02.mp4-7485,NA,both,TRUE,TRUE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/4883-A_20131127_1414_03.mp4-8600.jpg,2,32K26U12DNONBLE3I8EUB7NBVADDVO,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AKZ8SFOAI4RZN,4883-A_20131127_1414_03.mp4-8600.jpg,4883-A_20131127_1414_03.mp4-8600,NA,hands,TRUE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/5000-A_20131206_1423_01.mp4-30480.jpg,2,32PT7WK7DMF3ZCCKYY8OSCVS4QK3DH,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A1P6OXEJ86HQRM,5000-A_20131206_1423_01.mp4-30480.jpg,5000-A_20131206_1423_01.mp4-30480,NA,hands,TRUE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/5569-A_20140131_1618_03.mp4-17435.jpg,2,3P4ZBJFX2V3XOUS4ZOEGL99AEWVFWB,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2R8IV2PWFTY00,5569-A_20140131_1618_03.mp4-17435.jpg,5569-A_20140131_1618_03.mp4-17435,NA,none,FALSE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/7440-A_20140402_1820_03.mp4-5505.jpg,2,3FVBZG9CLJEOU0IP179VHZCJT6T0HS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3FT3XPTOWHJMY,7440-A_20140402_1820_03.mp4-5505.jpg,7440-A_20140402_1820_03.mp4-5505,NA,hands,TRUE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/18434-S_20140409_1723_02.AVI.mp4-16285.jpg,2,3VMHWJRYHVGCDUXU9TA2NSNHNY1FX4,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3OW5EFQ5QFD19,18434-S_20140409_1723_02.AVI.mp4-16285.jpg,18434-S_20140409_1723_02.AVI.mp4-16285,NA,both,TRUE,TRUE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/3819-A_20130922_1209_02.mp4-39250.jpg,2,3N7PQ0KLI5P8RIQKUTJ8YUDD42L3EA,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3OV174HQJIJK8,3819-A_20130922_1209_02.mp4-39250.jpg,3819-A_20130922_1209_02.mp4-39250,NA,hands,TRUE,FALSE,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/23617-S_20150322_2905_02.mp4-1025.jpg,2,3P7RGTLO6EDBX3HFZU9LJX4OU99KA7,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2NW4P1OLHXU3N,23617-S_20150322_2905_02.mp4-1025.jpg,23617-S_20150322_2905_02.mp4-1025,NA,NA,NA,NA,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/15188-S_20131012_1125_07.mp4-14700.jpg,2,3UUIU9GZC55DUGVLY7WWCDBYL8Z5TS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2S4YDJ9UGAXFQ,15188-S_20131012_1125_07.mp4-14700.jpg,15188-S_20131012_1125_07.mp4-14700,NA,none,FALSE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/7145-A_20140321_1808_02.mp4-17805.jpg,2,3MQKOF1EE2O0QAE88IJQX96P2JFDWY,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AN0JVAS4VR13F,7145-A_20140321_1808_02.mp4-17805.jpg,7145-A_20140321_1808_02.mp4-17805,NA,both,TRUE,TRUE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/12557-S_20130515_0628_02.AVI.mp4-34015.jpg,2,362E9TQF2HQL1Z4ULRGJ230E00XIG6,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AETIZKQNUSBLB,12557-S_20130515_0628_02.AVI.mp4-34015.jpg,12557-S_20130515_0628_02.AVI.mp4-34015,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/8813-A_20140704_2121_01.mp4-41185.jpg,2,3RWB1RTQDJNYP6LGFOUFJNKSYVF8PS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A36FBIDN58N139,8813-A_20140704_2121_01.mp4-41185.jpg,8813-A_20140704_2121_01.mp4-41185,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/12548-S_20130515_0628_02.AVI.mp4-26595.jpg,2,3KQC8JMJGCSKBSHMKUREJXAQWID3HQ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A30GA8KZBSU7E4,12548-S_20130515_0628_02.AVI.mp4-26595.jpg,12548-S_20130515_0628_02.AVI.mp4-26595,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/3042-A_20130827_1114_03.mp4-34345.jpg,2,3OQQD2WO8I6K7NS6QC9ZJ9B5WVS3IJ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2O2Y99RA9GFUJ,3042-A_20130827_1114_03.mp4-34345.jpg,3042-A_20130827_1114_03.mp4-34345,NA,none,FALSE,FALSE,NA,NA
Face(s) only,http://langcog.stanford.edu/expts/saycam/frames/9200-A_20140725_2212_02.mp4-27905.jpg,2,3S829FDFT21FFAJYINFCZSKWBLLDXR,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2FV0CMG9S8CU0,9200-A_20140725_2212_02.mp4-27905.jpg,9200-A_20140725_2212_02.mp4-27905,NA,faces,FALSE,TRUE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/18519-S_20140413_1727_03.mp4-4840.jpg,2,3PEG1BH7AERGGDM7589HE8OUCRUKB2,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3UDUHUVFKD833,18519-S_20140413_1727_03.mp4-4840.jpg,18519-S_20140413_1727_03.mp4-4840,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/14236-S_20130814_0928_01.AVI.mp4-2215.jpg,3,3R0WOCG21M9NY6P3DI4PFLLSH34DUZ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AZ69TBTDH7AZS,14236-S_20130814_0928_01.AVI.mp4-2215.jpg,14236-S_20130814_0928_01.AVI.mp4-2215,NA,none,FALSE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/17996-S_20140312_1623_04.mp4-7255.jpg,3,3ZQX1VYFTD5G469F0OH0UNF2OQJ8OB,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A12ASB8854TT4,17996-S_20140312_1623_04.mp4-7255.jpg,17996-S_20140312_1623_04.mp4-7255,NA,both,TRUE,TRUE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/15160-S_20131012_1125_04.mp4-4390.jpg,3,35YHTYFL1G3K95SZ9E9KZ7QW7NTFV1,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A17K1CHOI773VZ,15160-S_20131012_1125_04.mp4-4390.jpg,15160-S_20131012_1125_04.mp4-4390,NA,none,FALSE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/7182-A_20140321_1808_03.mp4-4555.jpg,3,32K26U12DNONBLE3I8EUB7NBVADDVO,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AKZ8SFOAI4RZN,7182-A_20140321_1808_03.mp4-4555.jpg,7182-A_20140321_1808_03.mp4-4555,NA,hands,TRUE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/18912-S_20140508_1821_06.mp4-13805.jpg,3,32PT7WK7DMF3ZCCKYY8OSCVS4QK3DH,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A1P6OXEJ86HQRM,18912-S_20140508_1821_06.mp4-13805.jpg,18912-S_20140508_1821_06.mp4-13805,NA,hands,TRUE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/17141-S_20140201_1515_04.mp4-7970.jpg,3,3P4ZBJFX2V3XOUS4ZOEGL99AEWVFWB,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2R8IV2PWFTY00,17141-S_20140201_1515_04.mp4-7970.jpg,17141-S_20140201_1515_04.mp4-7970,NA,hands,TRUE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/412-A_20130609_0827_01.mp4-29830.jpg,3,3FVBZG9CLJEOU0IP179VHZCJT6T0HS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3FT3XPTOWHJMY,412-A_20130609_0827_01.mp4-29830.jpg,412-A_20130609_0827_01.mp4-29830,NA,hands,TRUE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/1552-A_20130719_1006_02.mp4-13630.jpg,3,3VMHWJRYHVGCDUXU9TA2NSNHNY1FX4,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3OW5EFQ5QFD19,1552-A_20130719_1006_02.mp4-13630.jpg,1552-A_20130719_1006_02.mp4-13630,NA,both,TRUE,TRUE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/12307-S_20130501_0614_02.AVI.mp4-17295.jpg,3,3N7PQ0KLI5P8RIQKUTJ8YUDD42L3EA,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3OV174HQJIJK8,12307-S_20130501_0614_02.AVI.mp4-17295.jpg,12307-S_20130501_0614_02.AVI.mp4-17295,NA,none,FALSE,FALSE,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/15674-S_20131110_1224_07.mp4-8695.jpg,3,3P7RGTLO6EDBX3HFZU9LJX4OU99KA7,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2NW4P1OLHXU3N,15674-S_20131110_1224_07.mp4-8695.jpg,15674-S_20131110_1224_07.mp4-8695,NA,NA,NA,NA,NA,NA
