"","num_item_id","aoa","item_id","definition","type","category","lexical_category","lexical_class","uni_lemma","complexity_category"
"1",16,19,"item_16","bear","word","animals","nouns","nouns","bear",""
"2",18,17,"item_18","bird","word","animals","nouns","nouns","bird",""
"3",21,23,"item_21","butterfly","word","animals","nouns","nouns","butterfly",""
"4",22,18,"item_22","cat","word","animals","nouns","nouns","cat",""
"5",24,20,"item_24","cow","word","animals","nouns","nouns","cow",""
"6",25,26,"item_25","deer","word","animals","nouns","nouns","deer",""
"7",28,17,"item_28","duck","word","animals","nouns","nouns","duck",""
"8",29,23,"item_29","elephant","word","animals","nouns","nouns","elephant",""
"9",32,24,"item_32","giraffe","word","animals","nouns","nouns","giraffe",""
"10",39,21,"item_39","monkey","word","animals","nouns","nouns","monkey",""
"11",43,27,"item_43","penguin","word","animals","nouns","nouns","penguin",""
"12",49,25,"item_49","squirrel","word","animals","nouns","nouns","squirrel",""
"13",51,24,"item_51","tiger","word","animals","nouns","nouns","tiger",""
"14",56,20,"item_56","airplane","word","vehicles","nouns","nouns","airplane",""
"15",57,22,"item_57","bicycle","word","vehicles","nouns","nouns","bicycle",""
"16",59,21,"item_59","bus","word","vehicles","nouns","nouns","bus",""
"17",60,17,"item_60","car","word","vehicles","nouns","nouns","car",""
"18",61,24,"item_61","firetruck","word","vehicles","nouns","nouns","firetruck",""
"19",63,25,"item_63","motorcycle","word","vehicles","nouns","nouns","motorcycle",""
"20",65,25,"item_65","stroller","word","vehicles","nouns","nouns","stroller",""
"21",67,21,"item_67","train","word","vehicles","nouns","nouns","train",""
"22",69,19,"item_69","truck","word","vehicles","nouns","nouns","truck",""
"23",70,NA,"item_70","ball","word","toys","nouns","nouns","ball",""
"24",71,17,"item_71","balloon","word","toys","nouns","nouns","balloon",""
"25",73,21,"item_73","block","word","toys","nouns","nouns","block",""
"26",74,NA,"item_74","book","word","toys","nouns","nouns","book",""
"27",78,22,"item_78","doll","word","toys","nouns","nouns","doll",""
"28",81,24,"item_81","pen","word","toys","nouns","nouns","pen",""
"29",213,19,"item_213","bottle","word","household","nouns","nouns","bottle",""
"30",214,23,"item_214","bowl","word","household","nouns","nouns","bowl",""
"31",221,23,"item_221","clock","word","household","nouns","nouns","clock",""
"32",223,20,"item_223","cup","word","household","nouns","nouns","cup",""
"33",225,22,"item_225","fork","word","household","nouns","nouns","fork",""
"34",231,21,"item_231","keys","word","household","nouns","nouns","keys",""
"35",233,28,"item_233","lamp","word","household","nouns","nouns","lamp",""
"36",241,27,"item_241","penny","word","household","nouns","nouns","penny",""
"37",243,22,"item_243","pillow","word","household","nouns","nouns","pillow",""
"38",246,25,"item_246","purse","word","household","nouns","nouns","purse",""
"39",247,27,"item_247","radio","word","household","nouns","nouns","radio",""
"40",248,26,"item_248","scissors","word","household","nouns","nouns","scissors",""
"41",254,22,"item_254","toothbrush","word","household","nouns","nouns","toothbrush",""
"42",258,24,"item_258","vacuum","word","household","nouns","nouns","vacuum",""
"43",260,24,"item_260","watch (object)","word","household","nouns","nouns","watch (object)",""
"44",304,24,"item_304","pool","word","outside","nouns","nouns","pool",""
"45",309,26,"item_309","shovel","word","outside","nouns","nouns","shovel",""
"46",312,23,"item_312","slide (object)","word","outside","nouns","nouns","slide (object)",""
"47",322,20,"item_322","tree","word","outside","nouns","nouns","tree",""
"48",325,27,"item_325","beach","word","places","other","other","beach",""
"49",337,23,"item_337","park","word","places","other","other","park",""
